0	0	0	0	6	A	7	0	0	0
1	0	0	0	0	0	0	0	1	0
0	0	2	3	0	0	0	0	0	0
0	0	0	0	0	B	F	F	C	0
0	4	0	1	0	0	0	0	0	0
0	5	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	8	0
0	0	0	0	0	0	1	0	A	0
0	0	0	2	3	0	0	0	9	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	6	A	7	0	0	0
1	0	0	0	0	0	0	0	1	0
0	0	2	3	0	0	0	0	0	0
0	0	0	0	0	B	F	F	C	0
0	4	0	1	0	0	0	0	0	0
0	5	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	8	0
0	0	0	0	0	0	1	0	A	0
0	0	0	2	3	0	0	0	9	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	6	A	7	0	0	0
1	0	0	0	0	0	0	0	1	0
0	0	2	3	0	0	0	0	0	0
0	0	0	0	0	B	F	F	C	0
0	4	0	1	0	0	0	0	0	0
0	5	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	8	0
0	0	0	0	0	0	1	0	A	0
0	0	0	2	3	0	0	0	9	0
0	0	0	0	0	0	0	0	0	0
